ID,text,labels
1375050763081109514t,""" Death of Austrian nurse & #AstraZeneca vaccine : link confirmed according to Greifswald experts : the vaccine would trigger a "" defense mechanism "" of coagulation , normally when a wound heals , causing a blood clot in the brain . """,side-effect
1244766685359271937t,All I know is I ain ’ t getting the vaccine . It ’ s all bs,none
1289630055874920448t,@HighWireTalk @michellemalkin Retweet : vaccine = illness and death . stay 6 feet away from it . Demonic company Astrazeneca is .,side-effect
1354127624453369856t,@BorisJohnson_MP Trust me this will NEVER be over vaccine or no vaccine .,none
1329555068845256706t,"New Pfizer Results : Coronavirus Vaccine Is Safe and 95 % Effective - Slashdot https : / / t.co/IiocfxQZHS Safe and effective for pharma only , everyone who accepts vax is risking their life . Do #VaccinesWork ? https : / / t.co/BP60kLbP5m",side-effect
1433186539970965504t,"“ New Zealand reported its first recorded death linked to the Pfizer / BioNTech COVID - 19 vaccine , the health ministry said on Monday , after a woman suffered a rare heart muscle inflammation side effect . ” ⁦ @VaccineChoiceCA ⁩ #novaccinepassportanywhere https : / / t.co/t92IM7MVQQ",side-effect
1377368918465998849t,"it took me 5 mins in the hospital to decide against the whole vaccine taking process , like nah that system ain't putting nothing in me",pharma
1328399842385616896t,"The race to the world ’ s greatest cash cow has more competition . I wonder how many corners were shaved by all of them . What side effects or collateral damage will we live with later ? I believe real imperial scientific data , NOT press releases ! Moderna #COVID__19 #coronavirus",pharma side-effect
1332909005589516293t,@BradMossEsq I don ’ t think people should get a Covid vaccine . It would be so unfair to those who have already died of Covid .,none
1344269461763858433t,"So the vaccine it's either making is sick , giving us COVID , or plain and simply killing us ... And NOW THIS ! FDA recalls more hand sanitizers over potentially dangerous chemicals https : / / t.co/WHsIXCaYyT #FoxBusiness",side-effect
1338566157062660098t,If u don ’ t need 2 wear a 😷 u don ’ t need the vaccine . #mondaythoughts #MondayMorning #CovidVaccine https : / / t.co/dYyf02Nk3j,none
1338769046750326785t,"@SpeakerPelosi Be careful now with the Pfizer vaccine , not is 100 % effective against the covid - 19 . I don't want to become a mouse of Pfizer . https : / / t.co/8HGaKaQpZz",ineffective
1370296726058270721t,"clots in patients who received the vaccine , including at least one case in Denmark where the patient died . More countries have followed Denmark by suspending approval of the AstraZeneca - Oxford COVID vaccine . Switzerland , Austria , Iceland , Norway , Denmark , Estonia , Lithuania , -",side-effect
1232298490274951169t,"@pfizer And since we ’ re asking questions , here ’ s one : exactly how much 💰 have you paid our government officials to push through these mandates ? ? ? Stay TF away from my kids , you ’ ll never get to them or me ! #parentsoverpharma #believemothers #stopbiggovt",mandatory
1317225707068674048t,@ColinDyckes @MattHancock I see your a self declared business man ? What's your conflict of interest ? Do u have shares Oxford vaccine ? Shameful to encourage vaccine with unknown longterm implications ! Encourage & support #informedchoice #informedconsent Is history repeating itself ? https : / / t.co/iXBZFpeN5I,mandatory rushed
