ID,label1,label2,label3
1341713552114069504,rushed,,
1259134775954210816,conspiracy,pharma,
1297302986960416768,conspiracy,ingredients,
1331629978975428609,pharma,,
1364308679772766209,none,,
1332449687912198146,ingredients,,
1301179775612940288,conspiracy,side-effect,
1260173163616501760,conspiracy,,
1362102749085593604,political,,
1361690942432927746,conspiracy,ineffective,ingredients
1328168996387086336,ineffective,unnecessary,
1365665767346237440,pharma,,
1340741049971445762,conspiracy,pharma,
1336839278123487232,rushed,,
1390412924225835011,pharma,,
1371969864831762433,conspiracy,,
1439926046795653123,political,side-effect,
1353356014461071360,conspiracy,ingredients,
1329119018616193024,political,,
1340283665683783681,side-effect,pharma,
1398676551055597579,pharma,,
1340750484483710976,pharma,political,
1353470856333127680,pharma,,
1332386750132609024,side-effect,,
1263138444206764033,mandatory,,
1373987142234378246,rushed,,
1244932187989958656,pharma,,
1365448235297296384,conspiracy,ingredients,side-effect
1334306810119917568,country,,
1314228856384114690,conspiracy,political,
1333112871354589190,pharma,,
1376145213333377031,conspiracy,unnecessary,
1300193218273968130,ineffective,,
1308171148367069185,conspiracy,,
1251216812014002176,conspiracy,pharma,
1318708850061680640,conspiracy,unnecessary,
1354437953896894465,unnecessary,,
1424212580386619393,conspiracy,rushed,side-effect
1375341047149039616,none,,
1373662112308817925,pharma,,
1412532941654093826,side-effect,,
1334088486778003461,pharma,rushed,
1275142224175562755,rushed,,
1314784605883502592,conspiracy,pharma,political
1335364367894917120,pharma,,
1376317429681422342,none,,
1262563059828174850,conspiracy,,
1326065238307983361,ineffective,,
1326680373275860992,conspiracy,,
1435414715769839616,pharma,,
1374482227279499267,side-effect,,
1354273047189086211,political,,
1443676445100806168,pharma,,
1319407226927403013,none,,
1333491511246327810,conspiracy,ingredients,
1348723398411767815,conspiracy,,
1330944705643700224,pharma,rushed,
1254405418505375744,ineffective,,
1343292480712634368,conspiracy,side-effect,
1344221691925438464,conspiracy,pharma,
1375908722292224000,pharma,,
1376502463017197570,side-effect,,
1365259463729369088,conspiracy,,
1273426064002494464,conspiracy,side-effect,ingredients
1315226339763347458,conspiracy,unnecessary,
1303537503367049218,ingredients,,
1249492678204690434,conspiracy,,
1253211344192573440,ineffective,,
1299695523192926210,pharma,,
1365820391877341184,rushed,pharma,
1296081246880137217,rushed,,
1366146198726451203,side-effect,,
1333479421219459072,pharma,,
1255471570488868874,conspiracy,mandatory,
1336536639150071808,ineffective,,
1352891088495812611,conspiracy,ingredients,
1348951326873575425,conspiracy,,
1350437034649767937,pharma,,
1278374230711828480,country,,
1437858367863721993,rushed,,
1336865349451575299,conspiracy,,
1376637102272753670,mandatory,,
1296897103663423490,conspiracy,political,
1367149912207589380,none,,
1369103345944825861,conspiracy,side-effect,
1408884107258564608,pharma,,
1354487882195611648,unnecessary,,
1287703285953175552,political,,
1311187583452549121,conspiracy,pharma,ingredients
1244388321012277249,pharma,,
1321038266523471873,ineffective,,
1338480558129614848,ingredients,,
1352799810340970496,rushed,,
1300456905387593729,conspiracy,,
1238024780265263105,conspiracy,unnecessary,
1326146054945902592,conspiracy,ingredients,side-effect
1285928619487965185,ingredients,side-effect,pharma
1300976928015282176,conspiracy,country,ingredients
1334083141456236544,pharma,political,
1298655389140090880,pharma,,
1367938721463599115,side-effect,,
1262651503870988288,political,,
1374114303247216642,ineffective,,
1254477436986830848,mandatory,conspiracy,
1290922720188866561,none,,
1320821538057277440,conspiracy,unnecessary,
1265421344360919040,pharma,,
1358368910521864193,pharma,rushed,
1304103605788708865,rushed,,
1314460988733714432,pharma,unnecessary,
1293581297605017608,conspiracy,,
1344102034752950274,conspiracy,side-effect,
1245741803904647169,conspiracy,,
1253934145581039617,conspiracy,political,
1329386108883513345,conspiracy,unnecessary,
1298948969536655362,pharma,,
1243235937556918272,conspiracy,pharma,
1231200235952758786,side-effect,,
1244252413537722369,conspiracy,ingredients,
1272936472375709697,conspiracy,side-effect,ingredients
1333450069505437716,conspiracy,political,ingredients
1430570308906491913,rushed,,
1175986107793707010,conspiracy,,
1291089674694529025,conspiracy,pharma,
1284862338751795200,conspiracy,,
1333877966586195968,ineffective,,
1374049185813688323,unnecessary,,
1255884027749416962,conspiracy,political,
1365680157940469761,mandatory,political,
1217274193781370881,mandatory,,
1244370571296509952,conspiracy,pharma,
1334262599437996033,pharma,side-effect,
1262933557527232513,conspiracy,mandatory,
1353808007096905728,conspiracy,side-effect,
1220472904984428545,conspiracy,,
1248086625621626881,political,,
1299639021132566530,pharma,,
1255829338357981188,pharma,rushed,
1254099615315623942,conspiracy,,
1285357161548320773,conspiracy,ingredients,
1293351559611514880,conspiracy,country,pharma
1335530581686415361,pharma,,
1335285610337058816,country,,
1312583064187527173,conspiracy,unnecessary,ingredients
1413958164404375559,conspiracy,side-effect,
1287660057577086976,conspiracy,pharma,
1377037463470870535,conspiracy,,
1331159902094389250,pharma,,
1288346441702752257,conspiracy,,
1328306513551777793,conspiracy,side-effect,
1334973465191825416,conspiracy,,
1365296217295618048,side-effect,conspiracy,
1399789795832852481,pharma,,
1288791665084432384,ingredients,conspiracy,
1332584901456125953,conspiracy,pharma,
1327773563181555718,ineffective,,
1244822297304879110,side-effect,,
1246492673382498305,conspiracy,,
1374091246793338888,none,,
1285285215598936071,conspiracy,,
1352739211808485377,political,,
1247658445462835202,conspiracy,side-effect,
1262801719928422402,pharma,ineffective,
1316190369248415744,conspiracy,ingredients,
1374399606121844741,pharma,,
1329720736970207232,unnecessary,,
1333512630477217808,none,,
1254193946848366593,conspiracy,pharma,
1255919844001828867,political,pharma,
1352380014189309958,none,,
1353224633009496064,conspiracy,ingredients,
1314608460970053632,conspiracy,,
1283152391374856193,conspiracy,,
1374981191288373250,conspiracy,,
1328308876169633798,ineffective,,
1287822529122447362,conspiracy,,
1341266793080516609,side-effect,conspiracy,ingredients
1258030084293828608,conspiracy,,
1296179318238982144,pharma,,
1344744356134023168,none,,
1338697216475582470,pharma,,
1254095466158944257,political,,
1376610000731262977,side-effect,conspiracy,
1374678546799599617,pharma,,
1319446649329025024,rushed,,
1442095118870192131,conspiracy,pharma,
1287808984037163012,conspiracy,,
1325839086251356162,conspiracy,rushed,
1377118651384426499,conspiracy,,
1355176274042511363,conspiracy,side-effect,
1400628010043195397,conspiracy,,
1258499367289458689,conspiracy,pharma,
1329845336693760003,conspiracy,pharma,
1353626304659267585,conspiracy,,
1222821342547992576,conspiracy,,
1270469462198816769,rushed,pharma,ineffective
1253701381854236672,conspiracy,ingredients,
1326604451956862976,conspiracy,ingredients,
